Price,Price,Predicted
Ticker,BTC-USD,
Date,,
2024-10-03,60759.40234375,60359.50737191566
2024-10-04,62067.4765625,60464.1497581804
2024-10-05,62089.94921875,61847.893744192115
2024-10-06,62818.953125,62059.541029379085
2024-10-07,62236.66015625,62789.724202278885
2024-10-08,62131.96875,62259.691334690535
2024-10-09,60582.1015625,62071.03820391118
2024-10-10,60274.5,60550.22904899051
2024-10-11,62445.08984375,60125.99427777051
2024-10-12,63193.0234375,62232.79697517343
2024-10-13,62851.375,63094.04604933889
2024-10-14,66046.125,62893.01348235518
2024-10-15,67041.109375,65998.0587395795
2024-10-16,67612.71875,67056.94768599699
2024-10-17,67399.8359375,67665.79587640587
2024-10-18,68418.7890625,67512.18796328575
2024-10-19,68362.734375,68352.78480653773
2024-10-20,69001.703125,68312.55449730804
2024-10-21,67367.8515625,68914.12929012517
2024-10-22,67361.40625,67370.36099419546
2024-10-23,66432.1953125,67226.70482326587
2024-10-24,68161.0546875,66310.64115949672
2024-10-25,66642.4140625,67910.87714739158
2024-10-26,67014.6953125,66601.32761049696
2024-10-27,67929.296875,66888.39682730398
2024-10-28,69907.7578125,67827.18327976736
2024-10-29,72720.4921875,69734.97554665191
2024-10-30,72339.5390625,72663.99551619859
2024-10-31,70215.1875,72459.75697784395
2024-11-01,69482.46875,70350.15995669235
2024-11-02,69289.2734375,69416.32021350108
2024-11-03,68741.1171875,69043.13943424585
2024-11-04,67811.5078125,68511.74564574585
2024-11-05,69359.5625,67667.99704475264
2024-11-06,75639.078125,69146.91840444806
2024-11-07,75904.859375,75350.59707572364
2024-11-08,76545.4765625,76022.00465391451
2024-11-09,76778.8671875,76751.6673514062
2024-11-10,80474.1875,76942.9933533729
2024-11-11,88701.484375,80278.95885633492
2024-11-12,87955.8125,88493.59911181225
2024-11-13,90584.1640625,88260.6014198304
2024-11-14,87250.4296875,90825.62156454181
2024-11-15,91066.0078125,87559.22931994668
2024-11-16,90558.4765625,90730.42072989236
2024-11-17,89845.8515625,90467.04585303753
2024-11-18,90542.640625,89662.07511677378
2024-11-19,92343.7890625,90436.45295513053
2024-11-20,94339.4921875,92056.21302239814
2024-11-21,98504.7265625,94134.45431836933
2024-11-22,98997.6640625,98351.54020545419
2024-11-23,97777.28125,99062.97008975895
2024-11-24,98013.8203125,97856.77064287095
2024-11-25,93102.296875,97924.65198377022
2024-11-26,91985.3203125,92965.02577866838
2024-11-27,95962.53125,91566.68173707544
2024-11-28,95652.46875,95383.38182851081
2024-11-29,97461.5234375,95305.41613524088
2024-11-30,96449.0546875,97298.40379570176
2024-12-01,97279.7890625,96463.46738763347
2024-12-02,95865.3046875,97050.20605027233
2024-12-03,96002.1640625,95726.87336561561
2024-12-04,98768.53125,95703.44708504526
2024-12-05,96593.5703125,98435.47378993535
2024-12-06,99920.7109375,96450.4724777595
2024-12-07,99923.3359375,99642.8519462634
2024-12-08,101236.015625,99816.85880471137
2024-12-09,97432.71875,101001.36005455833
2024-12-10,96675.4296875,97471.67446516524
2024-12-11,101173.03125,96371.15861817884
2024-12-12,100043.0,100669.19064636325
2024-12-13,101459.2578125,99778.41495598893
2024-12-14,101372.96875,101294.99995042777
2024-12-15,104298.6953125,101314.49673877381
2024-12-16,106029.71875,103969.56158749745
2024-12-17,106140.6015625,105876.03580927635
2024-12-18,100041.5390625,106048.43975045411
2024-12-19,97490.953125,100135.39743440537
2024-12-20,97755.9296875,97158.98144063033
2024-12-21,97224.7265625,97138.01188204718
2024-12-22,95104.9375,96618.63595035198
2024-12-23,94686.2421875,94799.94490797597
2024-12-24,98676.09375,94374.41439116049
2024-12-25,99299.1953125,98202.962079264
2024-12-26,95795.515625,99070.01591241485
2024-12-27,94164.859375,95825.25628774668
2024-12-28,95163.9296875,94048.42105907091
2024-12-29,93530.2265625,94717.05257994604
2024-12-30,92643.2109375,93150.49400659848
2024-12-31,93429.203125,92355.30998198823
2025-01-01,94419.7578125,93124.82501768538
2025-01-02,96886.875,94085.96698307812
2025-01-03,98107.4296875,96625.32316311513
2025-01-04,98236.2265625,98006.53642967183
2025-01-05,98314.9609375,98188.79160304886
2025-01-06,102078.0859375,98236.17359967445
2025-01-07,96922.703125,101792.46890283101
2025-01-08,95043.5234375,96947.55909855144
2025-01-09,92484.0390625,94836.39353629772
2025-01-10,94701.453125,92183.9428777261
2025-01-11,94566.59375,94012.77157771053
2025-01-12,94488.4375,94223.71960462605
2025-01-13,94516.5234375,94244.04695317183
2025-01-14,96534.046875,94376.33862257162
2025-01-15,100504.4921875,96242.240602425
2025-01-16,99756.90625,100231.99036987647
2025-01-17,104462.0390625,99761.4781258708
2025-01-18,104408.0703125,104323.39996529605
2025-01-19,101089.609375,104451.44947952309
2025-01-20,102016.6640625,101082.88013655646
2025-01-21,106146.265625,101813.80999103731
2025-01-22,103653.0703125,105651.57548558734
2025-01-23,103960.171875,103486.24559466545
2025-01-24,104819.484375,103815.8094142308
2025-01-25,104714.6484375,104603.83203964739
2025-01-26,102682.5,104375.66018293877
2025-01-27,102087.6875,102509.32725051095
2025-01-28,101332.4765625,101793.82154066047
2025-01-29,103703.2109375,100969.0271614248
2025-01-30,104735.3046875,103232.7977606537
2025-01-31,102405.0234375,104463.0641341639
2025-02-01,100655.90625,102304.01139632367
2025-02-02,97688.9765625,100502.14776293802
2025-02-03,101405.421875,97385.80696785412
2025-02-04,97871.8203125,100767.45521819367
2025-02-05,96615.4453125,97632.42585034904
2025-02-06,96593.296875,96310.50340858214
2025-02-07,96529.0859375,96312.13854764293
2025-02-08,96482.453125,96077.69638496546
2025-02-09,96500.09375,96186.38555110112
2025-02-10,97437.5546875,96255.93397674173
2025-02-11,95747.4296875,97169.76604100104
2025-02-12,97885.859375,95584.35929327115
2025-02-13,96623.8671875,97573.75258264753
2025-02-14,97508.96875,96457.84259939891
2025-02-15,97580.3515625,97221.61182498389
2025-02-16,96175.03125,97405.90971700013
2025-02-17,95773.3828125,95956.85671631875
2025-02-18,95539.546875,95537.62737801374
2025-02-19,96635.609375,95235.38759168104
2025-02-20,98333.9375,96283.09889223585
2025-02-21,96125.546875,98061.74358853188
2025-02-22,96577.7578125,96041.47062278476
2025-02-23,96273.921875,96372.5260833004
2025-02-24,91418.171875,96035.28896931058
2025-02-25,88736.171875,91223.86309767723
2025-02-26,84347.0234375,88419.42690281686
2025-02-27,84704.2265625,83929.68674236764
2025-02-28,84373.0078125,84012.70994379882
